"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-01",100.4335,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-02",100.4541,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-03",100.4015,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-04",100.2306,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-05",99.94681,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-06",99.55287,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-07",99.05914,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-08",98.53498,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-09",98.08949,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-10",97.7937,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-11",97.66637,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-12",97.65636,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-01",97.71697,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-02",97.82533,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-03",97.97643,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-04",98.16592,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-05",98.34144,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-06",98.48061,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-07",98.6328,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-08",98.81812,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-09",99.0087,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-10",99.19924,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-11",99.37039,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-12",99.51821,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-01",99.66176,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-02",99.83684,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-03",100.0499,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-04",100.2788,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-05",100.4946,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-06",100.6956,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-07",100.9196,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-08",101.15,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-09",101.3606,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-10",101.5176,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-11",101.5885,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-12",101.5864,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-01",101.5244,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-02",101.4252,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-03",101.3336,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-04",101.2908,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-05",101.2966,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-06",101.3488,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-07",101.3988,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-08",101.4057,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-09",101.3274,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-10",101.1294,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-11",100.8326,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-12",100.4852,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-01",100.1582,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-02",99.87158,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-03",99.60236,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-04",99.35152,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-05",99.16739,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-06",99.07313,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-07",99.05885,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-08",99.12514,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-09",99.26951,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-10",99.47849,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-11",99.72536,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-12",99.98767,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-01",100.2288,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-02",100.4114,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-03",100.4909,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-04",100.4043,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-05",100.0917,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-06",99.55477,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-07",98.84705,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-08",98.07237,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-09",97.40398,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-10",96.94431,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-11",96.75091,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-12",96.82063,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-01",97.10132,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-02",97.49368,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-03",97.96672,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-04",98.49971,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-05",99.03999,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-06",99.53102,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-07",99.93404,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-08",100.2565,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-09",100.4973,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-10",100.6396,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-11",100.6776,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-12",100.6221,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-01",100.515,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-02",100.371,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-03",100.1999,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-04",100.0517,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-05",100.0036,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-06",100.0494,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-07",100.2028,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-08",100.4082,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-09",100.58,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-10",100.6672,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-11",100.6282,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-12",100.4582,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-01",100.1973,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-02",99.91213,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-03",99.63694,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-04",99.37405,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-05",99.08723,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-06",98.79644,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-07",98.52471,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-08",98.28566,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-09",98.06574,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-10",97.88752,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-11",97.79199,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-12",97.82863,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-01",97.9653,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-02",98.13774,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-03",98.28452,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-04",98.36664,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-05",98.37396,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-06",98.33492,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-07",98.25854,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-08",98.16819,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-09",98.10265,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-10",98.06573,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-11",98.06849,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-12",98.12537,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-01",98.23695,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-02",98.42693,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-03",98.71941,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-04",99.12351,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-05",99.60797,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-06",100.1594,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-07",100.7684,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-08",101.3827,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-09",101.9762,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-10",102.5208,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-11",103.0016,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-12",103.4083,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-01",103.7174,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-02",103.9622,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-03",104.1718,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-04",104.3135,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-05",104.3256,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-06",104.189,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-07",103.9714,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-08",103.7493,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-09",103.5582,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-10",103.4201,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-11",103.3037,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-12",103.1809,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-01",103.0364,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-02",102.8923,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-03",102.7587,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-04",102.6261,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-05",102.4699,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-06",102.258,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-07",101.9489,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-08",101.5184,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-09",100.9644,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-10",100.331,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-11",99.62631,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-12",98.89273,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-01",98.23222,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-02",97.73894,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-03",97.37391,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-04",97.09144,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-05",96.85285,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-06",96.59068,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-07",96.2606,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-08",95.90023,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-09",95.56896,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-10",95.30444,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-11",95.18794,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-12",95.29698,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-01",95.65094,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-02",96.03978,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-03",96.47041,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-04",96.89563,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-05",97.29783,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-06",97.6499,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-07",97.93937,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-08",98.19793,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-09",98.48087,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-10",98.74921,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-11",99.05053,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-12",99.39706,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-01",99.7616,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-02",100.0879,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-03",100.3399,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-04",100.4744,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-05",100.4533,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-06",100.289,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-07",100.0382,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-08",99.7348,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-09",99.43436,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-10",99.22819,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-11",99.14436,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-12",99.1575,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-01",99.269,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-02",99.4958,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-03",99.79311,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-04",100.1544,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-05",100.5582,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-06",100.9717,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-07",101.3885,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-08",101.7518,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-09",102.0458,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-10",102.2335,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-11",102.2886,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-12",102.2329,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-01",102.1063,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-02",101.936,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-03",101.7683,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-04",101.6348,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-05",101.566,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-06",101.5779,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-07",101.6163,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-08",101.6357,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-09",101.5959,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-10",101.4786,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-11",101.339,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-12",101.2473,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-01",101.2462,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-02",101.3235,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-03",101.4288,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-04",101.4521,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-05",101.2978,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-06",100.9608,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-07",100.5609,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-08",100.2043,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-09",99.92908,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-10",99.70218,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-11",99.46239,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-12",99.2055,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-01",98.93822,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-02",98.65722,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-03",98.34942,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-04",98.02175,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-05",97.7462,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-06",97.53834,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-07",97.39831,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-08",97.33995,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-09",97.40008,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-10",97.54286,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-11",97.78394,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-12",98.10378,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-01",98.45849,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-02",98.81421,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-03",99.1412,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-04",99.37497,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-05",99.46672,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-06",99.42136,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-07",99.28579,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-08",99.09605,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-09",98.91698,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-10",98.765,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-11",98.64301,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-12",98.55054,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-01",98.51265,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-02",98.55782,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-03",98.64272,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-04",98.72363,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-05",98.81297,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-06",98.938,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-07",99.10632,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-08",99.30234,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-09",99.5095,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-10",99.72128,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-11",99.90124,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-12",100.0664,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-01",100.2345,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-02",100.4014,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-03",100.5758,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-04",100.7426,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-05",100.8895,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-06",101.014,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-07",101.0968,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-08",101.1238,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-09",101.0997,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-10",101.0816,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-11",101.0539,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-12",101.0171,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-01",100.9708,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-02",100.9004,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-03",100.7911,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-04",100.6601,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-05",100.4874,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-06",100.2965,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-07",100.1252,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-08",100.0164,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-09",99.95464,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-10",99.90938,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-11",99.87791,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-12",99.83961,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-01",99.78598,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-02",99.71062,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-03",99.6416,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-04",99.5819,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-05",99.53223,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-06",99.5045,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-07",99.4985,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-08",99.51814,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-09",99.54638,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-10",99.57545,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-11",99.58697,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-12",99.57346,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-01",99.5317,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-02",99.50087,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-03",99.49901,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-04",99.52649,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-05",99.5445,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-06",99.5554,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-07",99.56003,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-08",99.57482,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-09",99.62057,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-10",99.7206,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-11",99.885,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-12",100.1169,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-01",100.4278,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-02",100.7948,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-03",101.1745,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-04",101.5513,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-05",101.8964,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-06",102.1547,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-07",102.2902,
